year,total_biomass_g_m2,mean_weighted_biomass_G_m2,eez,model,esm,scenario
1962,3348959068322.5693,48535638671.34158,8323,apecosm,ipsl,historical
1963,3399884773619.5845,49273692371.298325,8323,apecosm,ipsl,historical
1964,3276886305374.0195,47491105874.985794,8323,apecosm,ipsl,historical
1965,3412103069468.0347,49450769122.725136,8323,apecosm,ipsl,historical
1966,3327164576877.2593,48219776476.48202,8323,apecosm,ipsl,historical
1967,3074596462747.2427,44559369025.32236,8323,apecosm,ipsl,historical
1968,2996690314604.6313,43430294414.559875,8323,apecosm,ipsl,historical
1969,3085676773687.3687,44719953241.84592,8323,apecosm,ipsl,historical
1970,3196335730311.6313,46323706236.40046,8323,apecosm,ipsl,historical
1971,3206140225305.138,46465800366.741135,8323,apecosm,ipsl,historical
1972,3380252854808.033,48989171808.81207,8323,apecosm,ipsl,historical
1973,3491046476912.685,50594876476.99544,8323,apecosm,ipsl,historical
1974,3238103129008.9956,46929030855.202835,8323,apecosm,ipsl,historical
1975,3227088537695.6963,46769399097.03908,8323,apecosm,ipsl,historical
1976,3212671321548.736,46560453935.48893,8323,apecosm,ipsl,historical
1977,3042991601441.294,44101327557.1202,8323,apecosm,ipsl,historical
1978,3204623458848.5854,46443818244.182396,8323,apecosm,ipsl,historical
1979,3472268163569.7,50322727008.25652,8323,apecosm,ipsl,historical
1980,3224750790100.9,46735518697.11449,8323,apecosm,ipsl,historical
1981,3385117330363.4976,49059671454.54344,8323,apecosm,ipsl,historical
1982,3283191234628.8594,47582481661.28782,8323,apecosm,ipsl,historical
1983,3339524088132.4907,48398899828.00711,8323,apecosm,ipsl,historical
1984,3480987769921.1074,50449098114.79866,8323,apecosm,ipsl,historical
1985,3485427365284.543,50513440076.58758,8323,apecosm,ipsl,historical
1986,3535799022852.3877,51243464099.30997,8323,apecosm,ipsl,historical
1987,3492025989829.902,50609072316.37539,8323,apecosm,ipsl,historical
1988,3259690005710.2124,47241884140.727715,8323,apecosm,ipsl,historical
1989,3462360826056.477,50179142406.61561,8323,apecosm,ipsl,historical
1990,3313074096025.0845,48015566609.0592,8323,apecosm,ipsl,historical
1991,3074044966312.0776,44551376323.36345,8323,apecosm,ipsl,historical
1992,3191188052798.737,46249102214.47445,8323,apecosm,ipsl,historical
1993,3245902462722.246,47042064677.134,8323,apecosm,ipsl,historical
1994,3262068124105.6587,47276349624.71969,8323,apecosm,ipsl,historical
1995,3439587487904.5815,49849094027.60263,8323,apecosm,ipsl,historical
1996,3134461626955.369,45426980100.80245,8323,apecosm,ipsl,historical
1997,3423951347808.071,49622483301.56624,8323,apecosm,ipsl,historical
1998,3402823653178.5024,49316284828.67395,8323,apecosm,ipsl,historical
1999,3516335749328.512,50961387671.42771,8323,apecosm,ipsl,historical
2000,3448088638832.981,49972299113.52146,8323,apecosm,ipsl,historical
2001,3439882231904.655,49853365679.77761,8323,apecosm,ipsl,historical
