year,total_biomass_g_m2,mean_weighted_biomass_G_m2,eez,model,esm,scenario
2011,2867786091950.7725,42173324881.629005,8385,apecosm,ipsl,historical
2012,2716482244118.1465,39948268295.855095,8385,apecosm,ipsl,historical
2013,2609245350337.041,38371255152.01531,8385,apecosm,ipsl,historical
2014,2710589334019.582,39861607853.22915,8385,apecosm,ipsl,historical
1950,762825404370.9133,63568783697.57612,8386,apecosm,ipsl,historical
1951,799719014186.6461,66643251182.22051,8386,apecosm,ipsl,historical
1952,766634218894.5369,63886184907.878075,8386,apecosm,ipsl,historical
1953,750788162265.5571,62565680188.796425,8386,apecosm,ipsl,historical
1954,737916822754.4857,61493068562.87381,8386,apecosm,ipsl,historical
1955,683881789226.002,56990149102.16683,8386,apecosm,ipsl,historical
1956,699248301684.5186,58270691807.04321,8386,apecosm,ipsl,historical
1957,684529767273.822,57044147272.818504,8386,apecosm,ipsl,historical
1958,754177292521.9009,62848107710.15841,8386,apecosm,ipsl,historical
1959,783512916021.8558,65292743001.82132,8386,apecosm,ipsl,historical
1960,750589737587.834,62549144798.98616,8386,apecosm,ipsl,historical
1961,738265926371.7107,61522160530.9759,8386,apecosm,ipsl,historical
1962,758126391729.1292,63177199310.760765,8386,apecosm,ipsl,historical
1963,744976362802.2168,62081363566.851395,8386,apecosm,ipsl,historical
1964,703195967503.123,58599663958.59358,8386,apecosm,ipsl,historical
1965,660817340516.226,55068111709.68549,8386,apecosm,ipsl,historical
1966,682851052386.397,56904254365.53307,8386,apecosm,ipsl,historical
1967,748394825190.2966,62366235432.52471,8386,apecosm,ipsl,historical
1968,648620210177.6687,54051684181.47239,8386,apecosm,ipsl,historical
1969,688875982223.436,57406331851.952995,8386,apecosm,ipsl,historical
1970,666464289956.4258,55538690829.702156,8386,apecosm,ipsl,historical
1971,615458223436.7454,51288185286.39545,8386,apecosm,ipsl,historical
1972,736991219164.8591,61415934930.40493,8386,apecosm,ipsl,historical
1973,768714085825.175,64059507152.097916,8386,apecosm,ipsl,historical
1974,725603954147.6663,60466996178.97218,8386,apecosm,ipsl,historical
1975,702252328013.3168,58521027334.44306,8386,apecosm,ipsl,historical
1976,731289587611.5815,60940798967.6318,8386,apecosm,ipsl,historical
1977,741624467302.9471,61802038941.91226,8386,apecosm,ipsl,historical
1978,679412464626.3882,56617705385.53236,8386,apecosm,ipsl,historical
1979,702098587113.6282,58508215592.802345,8386,apecosm,ipsl,historical
1980,699518139490.9773,58293178290.91478,8386,apecosm,ipsl,historical
1981,701675503978.5172,58472958664.876434,8386,apecosm,ipsl,historical
1982,689860978769.1841,57488414897.432,8386,apecosm,ipsl,historical
1983,730061704920.0061,60838475410.0005,8386,apecosm,ipsl,historical
1984,639916917749.1438,53326409812.42864,8386,apecosm,ipsl,historical
1985,672143782603.7477,56011981883.64564,8386,apecosm,ipsl,historical
1986,687622547802.645,57301878983.55376,8386,apecosm,ipsl,historical
1987,709194535101.3794,59099544591.781624,8386,apecosm,ipsl,historical
1988,726853821398.4429,60571151783.203575,8386,apecosm,ipsl,historical
1989,757970520305.2417,63164210025.436806,8386,apecosm,ipsl,historical
1990,731628182114.8668,60969015176.2389,8386,apecosm,ipsl,historical
1991,714808415604.6415,59567367967.05346,8386,apecosm,ipsl,historical
1992,689660605931.8782,57471717160.989845,8386,apecosm,ipsl,historical
1993,614905620620.571,51242135051.71425,8386,apecosm,ipsl,historical
1994,645564588382.3822,53797049031.86518,8386,apecosm,ipsl,historical
1995,716800887547.1274,59733407295.59395,8386,apecosm,ipsl,historical
1996,676854428484.9878,56404535707.08231,8386,apecosm,ipsl,historical
1997,703412379270.8363,58617698272.569695,8386,apecosm,ipsl,historical
1998,679255003580.3394,56604583631.694954,8386,apecosm,ipsl,historical
1999,693900579504.4742,57825048292.03952,8386,apecosm,ipsl,historical
2000,676157826646.2502,56346485553.85418,8386,apecosm,ipsl,historical
2001,665559900603.929,55463325050.32741,8386,apecosm,ipsl,historical
2002,656311350044.0762,54692612503.67302,8386,apecosm,ipsl,historical
2003,684303145844.9264,57025262153.743866,8386,apecosm,ipsl,historical
2004,696279057317.189,58023254776.43241,8386,apecosm,ipsl,historical
2005,667962341552.1511,55663528462.67927,8386,apecosm,ipsl,historical
2006,690597154389.2429,57549762865.77025,8386,apecosm,ipsl,historical
2007,682130400996.221,56844200083.01842,8386,apecosm,ipsl,historical
2008,702301634422.0425,58525136201.836876,8386,apecosm,ipsl,historical
2009,636785245729.2463,53065437144.10387,8386,apecosm,ipsl,historical
2010,679620791746.5151,56635065978.87626,8386,apecosm,ipsl,historical
2011,712466375447.5327,59372197953.96107,8386,apecosm,ipsl,historical
2012,746216012572.4847,62184667714.373726,8386,apecosm,ipsl,historical
2013,687156459613.0298,57263038301.085815,8386,apecosm,ipsl,historical
2014,649546756852.8254,54128896404.40212,8386,apecosm,ipsl,historical
1950,2496093854098.2715,36707262560.2687,8387,apecosm,ipsl,historical
1951,2406647845783.6157,35391880085.05317,8387,apecosm,ipsl,historical
1952,2335355576472.1406,34343464359.88442,8387,apecosm,ipsl,historical
1953,2407127398894.1196,35398932336.67823,8387,apecosm,ipsl,historical
1954,2330074254363.607,34265797858.288334,8387,apecosm,ipsl,historical
1955,2457832350023.3545,36144593382.69639,8387,apecosm,ipsl,historical
1956,2358927621668.1636,34690112083.35535,8387,apecosm,ipsl,historical
1957,2391804207092.3257,35173591280.7695,8387,apecosm,ipsl,historical
1958,2515555667581.734,36993465699.73138,8387,apecosm,ipsl,historical
1959,2490211797566.4204,36620761728.917946,8387,apecosm,ipsl,historical
1960,2519967601772.137,37058347084.88437,8387,apecosm,ipsl,historical
1961,2530676019952.0293,37215823822.82396,8387,apecosm,ipsl,historical
1962,2538002475698.5776,37323565819.09673,8387,apecosm,ipsl,historical
1963,2387569095818.911,35111310232.63105,8387,apecosm,ipsl,historical
1964,2399999437710.1006,35294109378.089714,8387,apecosm,ipsl,historical
1965,2376492558936.951,34948419984.36693,8387,apecosm,ipsl,historical
1966,2418263867033.4077,35562703926.961876,8387,apecosm,ipsl,historical
1967,2444514384656.55,35948740950.83162,8387,apecosm,ipsl,historical
1968,2517041918110.4204,37015322325.15324,8387,apecosm,ipsl,historical
1969,2655184005577.468,39046823611.43335,8387,apecosm,ipsl,historical
1970,2521679415671.8784,37083520818.704094,8387,apecosm,ipsl,historical
1971,2465081593921.398,36251199910.608795,8387,apecosm,ipsl,historical
1972,2649137019788.112,38957897349.82517,8387,apecosm,ipsl,historical
1973,2421744583827.8823,35613890938.64533,8387,apecosm,ipsl,historical
1974,2393643752925.272,35200643425.37165,8387,apecosm,ipsl,historical
1975,2500754907355.8154,36775807461.11493,8387,apecosm,ipsl,historical
1976,2477816511868.307,36438478115.7104,8387,apecosm,ipsl,historical
1977,2351554559773.794,34581684702.55579,8387,apecosm,ipsl,historical
1978,2352050136068.5996,34588972589.24411,8387,apecosm,ipsl,historical
1979,2518149309964.2397,37031607499.47411,8387,apecosm,ipsl,historical
1980,2512136552212.3286,36943184591.35777,8387,apecosm,ipsl,historical
1981,2342229108911.957,34444545719.29348,8387,apecosm,ipsl,historical
1982,2561796941027.3716,37673484426.873116,8387,apecosm,ipsl,historical
1983,2560760189121.8066,37658238075.32069,8387,apecosm,ipsl,historical
1984,2576677000143.2593,37892308825.63617,8387,apecosm,ipsl,historical
1985,2656082346643.0566,39060034509.45671,8387,apecosm,ipsl,historical
1986,2593060757988.297,38133246441.004364,8387,apecosm,ipsl,historical
1987,2484854465595.3037,36541977435.22505,8387,apecosm,ipsl,historical
1988,2375781070273.6455,34937956915.78891,8387,apecosm,ipsl,historical
1989,2469863744557.1777,36321525655.25262,8387,apecosm,ipsl,historical
1990,2499692171025.852,36760178985.6743,8387,apecosm,ipsl,historical
1991,2668357802156.4707,39240555914.06575,8387,apecosm,ipsl,historical
1992,2751381023818.358,40461485644.38761,8387,apecosm,ipsl,historical
1993,2622080872664.036,38560012833.29465,8387,apecosm,ipsl,historical
1994,2560235668507.615,37650524536.87669,8387,apecosm,ipsl,historical
1995,2684928912418.8447,39484248712.04184,8387,apecosm,ipsl,historical
1996,2611033279106.0107,38397548222.14722,8387,apecosm,ipsl,historical
1997,2435738428617.6025,35819682773.78828,8387,apecosm,ipsl,historical
1998,2530285530231.7812,37210081326.937965,8387,apecosm,ipsl,historical
1999,2538912511217.433,37336948694.374016,8387,apecosm,ipsl,historical
2000,2432483200294.7593,35771811769.04058,8387,apecosm,ipsl,historical
2001,2484864807883.627,36542129527.70039,8387,apecosm,ipsl,historical
2002,2672223939059.698,39297410868.52498,8387,apecosm,ipsl,historical
2003,2705412355400.867,39785475814.718636,8387,apecosm,ipsl,historical
2004,2768202403045.303,40708858868.31328,8387,apecosm,ipsl,historical
2005,2659485432574.436,39110079890.80053,8387,apecosm,ipsl,historical
2006,2612192291018.2617,38414592514.97444,8387,apecosm,ipsl,historical
2007,2645739554530.195,38907934625.444046,8387,apecosm,ipsl,historical
2008,2670073216002.9116,39265782588.278114,8387,apecosm,ipsl,historical
2009,2754496569352.3955,40507302490.47641,8387,apecosm,ipsl,historical
2010,2658004764695.7383,39088305363.17262,8387,apecosm,ipsl,historical
2011,2606129894648.555,38325439627.18463,8387,apecosm,ipsl,historical
2012,2630647429945.3364,38685991616.84318,8387,apecosm,ipsl,historical
2013,2406952831250.288,35396365165.44541,8387,apecosm,ipsl,historical
2014,2498635920613.6816,36744645891.37767,8387,apecosm,ipsl,historical
1950,1293409382344.638,23952025598.974777,8388,apecosm,ipsl,historical
1951,1271248145205.7136,23541632318.624325,8388,apecosm,ipsl,historical
1952,1227134505285.172,22724713060.83652,8388,apecosm,ipsl,historical
1953,1252076532616.8137,23186602455.86692,8388,apecosm,ipsl,historical
1954,1306711086741.1538,24198353458.169514,8388,apecosm,ipsl,historical
1955,1338205226044.5571,24781578260.084393,8388,apecosm,ipsl,historical
1956,1313030851662.4666,24315386141.89753,8388,apecosm,ipsl,historical
1957,1313836707608.3801,24330309400.155186,8388,apecosm,ipsl,historical
1958,1377753482559.4143,25513953380.729893,8388,apecosm,ipsl,historical
1959,1354401850138.8037,25081515743.311176,8388,apecosm,ipsl,historical
1960,1344826131865.9856,24904187627.147884,8388,apecosm,ipsl,historical
1961,1400346143532.295,25932335991.338795,8388,apecosm,ipsl,historical
1962,1459894557810.736,27035084403.90252,8388,apecosm,ipsl,historical
1963,1430324340256.0557,26487487782.51955,8388,apecosm,ipsl,historical
1964,1457241816290.0134,26985959560.926174,8388,apecosm,ipsl,historical
1965,1405575690230.7832,26029179448.71821,8388,apecosm,ipsl,historical
1966,1423854051388.0159,26367667618.296593,8388,apecosm,ipsl,historical
1967,1411862284173.5112,26145597855.065025,8388,apecosm,ipsl,historical
1968,1449533366584.7815,26843210492.31077,8388,apecosm,ipsl,historical
1969,1545995370588.07,28629543899.779076,8388,apecosm,ipsl,historical
1970,1511701150393.0732,27994465748.019875,8388,apecosm,ipsl,historical
1971,1469474355434.7036,27212488063.60562,8388,apecosm,ipsl,historical
1972,1560426632592.3228,28896789492.45042,8388,apecosm,ipsl,historical
1973,1484775705641.2175,27495846400.763287,8388,apecosm,ipsl,historical
1974,1434979714832.993,26573698422.833202,8388,apecosm,ipsl,historical
1975,1493666249906.4475,27660486109.37866,8388,apecosm,ipsl,historical
1976,1501975109166.2207,27814353873.44853,8388,apecosm,ipsl,historical
1977,1458214140539.9836,27003965565.555252,8388,apecosm,ipsl,historical
1978,1442667473695.2727,26716064327.690235,8388,apecosm,ipsl,historical
1979,1552709376489.622,28753877342.40041,8388,apecosm,ipsl,historical
1980,1634436287160.9229,30267338651.1282,8388,apecosm,ipsl,historical
1981,1494817369038.7864,27681803130.347893,8388,apecosm,ipsl,historical
1982,1513711172142.642,28031688373.01189,8388,apecosm,ipsl,historical
1983,1560414959201.2856,28896573318.542328,8388,apecosm,ipsl,historical
1984,1671445826973.7505,30952700499.513897,8388,apecosm,ipsl,historical
1985,1603977777152.1099,29703292169.483517,8388,apecosm,ipsl,historical
1986,1501858216544.3142,27812189195.26508,8388,apecosm,ipsl,historical
1987,1502453087428.2935,27823205322.746174,8388,apecosm,ipsl,historical
1988,1486161259410.835,27521504803.90435,8388,apecosm,ipsl,historical
1989,1475413768373.5825,27322477192.10338,8388,apecosm,ipsl,historical
1990,1535506756917.6426,28435310313.289677,8388,apecosm,ipsl,historical
1991,1576451802068.9995,29193551890.16666,8388,apecosm,ipsl,historical
1992,1679938903042.9219,31109979685.980034,8388,apecosm,ipsl,historical
1993,1698547748118.1768,31454587928.114384,8388,apecosm,ipsl,historical
1994,1612049493439.9941,29852768397.036926,8388,apecosm,ipsl,historical
1995,1649050648850.6658,30537974978.716034,8388,apecosm,ipsl,historical
1996,1605889957701.605,29738702920.400093,8388,apecosm,ipsl,historical
1997,1572818401316.5015,29126266691.04632,8388,apecosm,ipsl,historical
1998,1527706685707.909,28290864550.14646,8388,apecosm,ipsl,historical
1999,1557690478480.8,28846119971.86667,8388,apecosm,ipsl,historical
2000,1597747748649.1255,29587921271.2801,8388,apecosm,ipsl,historical
2001,1580278313287.2783,29264413209.02367,8388,apecosm,ipsl,historical
2002,1630385557723.6982,30192325143.031452,8388,apecosm,ipsl,historical
2003,1661204676512.6409,30763049565.048904,8388,apecosm,ipsl,historical
2004,1653563460534.7017,30621545565.457436,8388,apecosm,ipsl,historical
2005,1617899968894.6182,29961110535.08552,8388,apecosm,ipsl,historical
2006,1553579420446.0083,28769989267.518673,8388,apecosm,ipsl,historical
2007,1573992643458.799,29148011915.903687,8388,apecosm,ipsl,historical
2008,1609916007992.2144,29813259407.263226,8388,apecosm,ipsl,historical
2009,1735081057085.1616,32131130686.762253,8388,apecosm,ipsl,historical
2010,1667534125604.8523,30880261585.27504,8388,apecosm,ipsl,historical
2011,1602747266214.4922,29680504929.898003,8388,apecosm,ipsl,historical
2012,1600451244562.9094,29637986010.424248,8388,apecosm,ipsl,historical
2013,1516118894324.9358,28076275820.832146,8388,apecosm,ipsl,historical
2014,1516708606998.3772,28087196425.895874,8388,apecosm,ipsl,historical
1950,1484518670346.5615,21831156916.8612,8389,apecosm,ipsl,historical
1951,1427654707077.7615,20994922162.908257,8389,apecosm,ipsl,historical
1952,1486542505180.3262,21860919193.828327,8389,apecosm,ipsl,historical
1953,1390745087951.5283,20452133646.346004,8389,apecosm,ipsl,historical
1954,1349166297598.8108,19840680847.041336,8389,apecosm,ipsl,historical
1955,1274202513079.0369,18738272251.162308,8389,apecosm,ipsl,historical
1956,1393801230468.6865,20497076918.657154,8389,apecosm,ipsl,historical
1957,1388621461513.0376,20420903845.779964,8389,apecosm,ipsl,historical
1958,1413628260924.9631,20788650895.95534,8389,apecosm,ipsl,historical
1959,1362862313464.3794,20042092845.0644,8389,apecosm,ipsl,historical
1960,1325663137872.4285,19495046145.182774,8389,apecosm,ipsl,historical
1961,1358879911608.879,19983528111.895275,8389,apecosm,ipsl,historical
1962,1435588008394.8904,21111588358.74839,8389,apecosm,ipsl,historical
1963,1395031033854.6577,20515162262.568497,8389,apecosm,ipsl,historical
1964,1275155436172.042,18752285826.05944,8389,apecosm,ipsl,historical
1965,1301942112475.9062,19146207536.410385,8389,apecosm,ipsl,historical
1966,1312680299514.0046,19304122051.676537,8389,apecosm,ipsl,historical
1967,1522202952172.8093,22385337531.95308,8389,apecosm,ipsl,historical
1968,1460556723084.9143,21478775339.484035,8389,apecosm,ipsl,historical
1969,1511590736731.471,22229275540.16869,8389,apecosm,ipsl,historical
1970,1378811927740.1147,20276645996.178158,8389,apecosm,ipsl,historical
1971,1437122613262.233,21134156077.38578,8389,apecosm,ipsl,historical
1972,1489841671436.0083,21909436344.647182,8389,apecosm,ipsl,historical
1973,1439143839382.9333,21163879990.925488,8389,apecosm,ipsl,historical
1974,1294138837914.0415,19031453498.735905,8389,apecosm,ipsl,historical
1975,1274974781914.3606,18749629145.79942,8389,apecosm,ipsl,historical
1976,1291970929096.6462,18999572486.715385,8389,apecosm,ipsl,historical
1977,1247458570305.2844,18344978975.077713,8389,apecosm,ipsl,historical
1978,1252223469998.1482,18415051029.384533,8389,apecosm,ipsl,historical
1979,1455866146391.6487,21409796270.465424,8389,apecosm,ipsl,historical
1980,1511131089706.5159,22222516025.09582,8389,apecosm,ipsl,historical
1981,1323890379277.3474,19468976165.84334,8389,apecosm,ipsl,historical
1982,1323114774461.794,19457570212.673443,8389,apecosm,ipsl,historical
1983,1364452997650.7358,20065485259.569645,8389,apecosm,ipsl,historical
1984,1426207648592.7212,20973641891.069427,8389,apecosm,ipsl,historical
1985,1382717552656.105,20334081656.707424,8389,apecosm,ipsl,historical
1986,1300964094368.1475,19131824917.17864,8389,apecosm,ipsl,historical
1987,1440387357020.906,21182167015.01332,8389,apecosm,ipsl,historical
1988,1365597586647.2454,20082317450.694786,8389,apecosm,ipsl,historical
1989,1403319218810.5542,20637047335.449326,8389,apecosm,ipsl,historical
1990,1286326920759.1528,18916572364.10519,8389,apecosm,ipsl,historical
1991,1178726790963.4414,17334217514.16826,8389,apecosm,ipsl,historical
1992,1355050476848.4014,19927212894.82943,8389,apecosm,ipsl,historical
1993,1328897283926.258,19542607116.56262,8389,apecosm,ipsl,historical
1994,1491522153139.2908,21934149310.87192,8389,apecosm,ipsl,historical
1995,1453415330004.3616,21373754853.005318,8389,apecosm,ipsl,historical
1996,1406826891019.8171,20688630750.291428,8389,apecosm,ipsl,historical
1997,1461717309775.8762,21495842790.82171,8389,apecosm,ipsl,historical
1998,1330683358667.2073,19568872921.57658,8389,apecosm,ipsl,historical
1999,1293100211850.4666,19016179586.036274,8389,apecosm,ipsl,historical
2000,1334497764362.8105,19624967122.98251,8389,apecosm,ipsl,historical
2001,1308465645549.3508,19242141846.31398,8389,apecosm,ipsl,historical
2002,1352799894658.056,19894116097.912586,8389,apecosm,ipsl,historical
2003,1498799869954.184,22041174558.14977,8389,apecosm,ipsl,historical
2004,1409364315403.7847,20725945814.76154,8389,apecosm,ipsl,historical
2005,1343549549273.8984,19758081606.969097,8389,apecosm,ipsl,historical
2006,1409411561075.2197,20726640604.047348,8389,apecosm,ipsl,historical
2007,1287958651726.4172,18940568407.74143,8389,apecosm,ipsl,historical
2008,1337833874737.1353,19674027569.663757,8389,apecosm,ipsl,historical
2009,1466025899234.391,21559204400.505753,8389,apecosm,ipsl,historical
2010,1436520193452.0857,21125296962.530674,8389,apecosm,ipsl,historical
2011,1330171125285.6934,19561340077.730785,8389,apecosm,ipsl,historical
2012,1256936650028.338,18484362500.416733,8389,apecosm,ipsl,historical
2013,1356301767012.278,19945614220.768795,8389,apecosm,ipsl,historical
2014,1332070746688.4634,19589275686.595047,8389,apecosm,ipsl,historical
1950,11346767991774.63,38333675647.88727,8455,apecosm,ipsl,historical
1951,11821816623670.299,39938569674.56182,8455,apecosm,ipsl,historical
1952,11662869067211.418,39401584686.52506,8455,apecosm,ipsl,historical
1953,11735955938092.13,39648499790.85179,8455,apecosm,ipsl,historical
1954,12515508912393.303,42282124704.03143,8455,apecosm,ipsl,historical
1955,12483415271578.482,42173700241.8192,8455,apecosm,ipsl,historical
1956,11954573737758.787,40387073438.37428,8455,apecosm,ipsl,historical
1957,11525595837911.477,38937823776.72796,8455,apecosm,ipsl,historical
1958,11559724158337.12,39053122156.54433,8455,apecosm,ipsl,historical
1959,10954894811281.744,37009779767.84373,8455,apecosm,ipsl,historical
1960,10356640487427.97,34988650295.36476,8455,apecosm,ipsl,historical
1961,10696518536100.553,36136886946.28565,8455,apecosm,ipsl,historical
1962,11430774942440.246,38617482913.64948,8455,apecosm,ipsl,historical
1963,12117990389751.031,40939156722.13187,8455,apecosm,ipsl,historical
1964,12284125674089.877,41500424574.62796,8455,apecosm,ipsl,historical
1965,12150086351905.916,41047589026.709175,8455,apecosm,ipsl,historical
1966,11790067737522.088,39831309924.06111,8455,apecosm,ipsl,historical
1967,11794760221827.64,39847162911.579865,8455,apecosm,ipsl,historical
1968,11744294686376.979,39676671237.76006,8455,apecosm,ipsl,historical
1969,11325748484238.666,38262663798.1036,8455,apecosm,ipsl,historical
1970,11521233517364.615,38923086207.31289,8455,apecosm,ipsl,historical
1971,11279880012199.723,38107702743.917984,8455,apecosm,ipsl,historical
1972,11496685638062.795,38840154182.64458,8455,apecosm,ipsl,historical
1973,11658819222729.318,39387902779.490944,8455,apecosm,ipsl,historical
1974,11318373867290.906,38237749551.65846,8455,apecosm,ipsl,historical
1975,11528686096592.648,38948263839.84003,8455,apecosm,ipsl,historical
1976,11504460382496.535,38866420211.13694,8455,apecosm,ipsl,historical
1977,11343769260887.223,38323544800.29467,8455,apecosm,ipsl,historical
1978,11417709146346.291,38573341710.629364,8455,apecosm,ipsl,historical
1979,11508408995561.822,38879760120.14129,8455,apecosm,ipsl,historical
1980,11308975151688.066,38205997134.08131,8455,apecosm,ipsl,historical
1981,11227268839546.953,37929962295.76673,8455,apecosm,ipsl,historical
1982,11552775124134.984,39029645689.64522,8455,apecosm,ipsl,historical
1983,11542362556068.453,38994468094.82586,8455,apecosm,ipsl,historical
1984,11506852127845.188,38874500431.90942,8455,apecosm,ipsl,historical
1985,11761662090530.107,39735344900.43955,8455,apecosm,ipsl,historical
1986,12331280938148.242,41659732899.14947,8455,apecosm,ipsl,historical
1987,12166682217491.576,41103656140.17424,8455,apecosm,ipsl,historical
1988,11097015571921.828,37489917472.70888,8455,apecosm,ipsl,historical
1989,10942723052839.53,36968658962.29571,8455,apecosm,ipsl,historical
1990,11419446937556.2,38579212626.87905,8455,apecosm,ipsl,historical
1991,11245444068266.367,37991365095.494484,8455,apecosm,ipsl,historical
1992,11669969346813.727,39425572117.61394,8455,apecosm,ipsl,historical
1993,11636954407019.51,39314035158.84969,8455,apecosm,ipsl,historical
1994,11876266402269.496,40122521629.28883,8455,apecosm,ipsl,historical
1995,12282359260908.867,41494456962.52995,8455,apecosm,ipsl,historical
1996,11750839334821.219,39698781536.55817,8455,apecosm,ipsl,historical
1997,12150484401174.787,41048933787.75266,8455,apecosm,ipsl,historical
1998,12484926773343.148,42178806666.69983,8455,apecosm,ipsl,historical
1999,12609093957746.21,42598290397.79125,8455,apecosm,ipsl,historical
2000,12427238528008.934,41983913945.97613,8455,apecosm,ipsl,historical
2001,12387334864337.586,41849104271.41077,8455,apecosm,ipsl,historical
2002,12627682488522.371,42661089488.25126,8455,apecosm,ipsl,historical
2003,12985715779593.828,43870661417.546715,8455,apecosm,ipsl,historical
2004,12868097560046.371,43473302567.72423,8455,apecosm,ipsl,historical
2005,11993633103744.186,40519030755.89252,8455,apecosm,ipsl,historical
2006,11752611592953.686,39704768895.1138,8455,apecosm,ipsl,historical
2007,12362208644544.525,41764218393.7315,8455,apecosm,ipsl,historical
2008,12586215454045.605,42520998155.55948,8455,apecosm,ipsl,historical
2009,12017849151966.668,40600841729.61712,8455,apecosm,ipsl,historical
2010,12371102831997.16,41794266324.31473,8455,apecosm,ipsl,historical
2011,12272143359452.414,41459943781.93383,8455,apecosm,ipsl,historical
2012,12266555927890.73,41441067323.95517,8455,apecosm,ipsl,historical
2013,12460878254024.322,42097561669.00109,8455,apecosm,ipsl,historical
2014,12723399410445.742,42984457467.7221,8455,apecosm,ipsl,historical
1950,3580768236910.1943,27974751850.860893,8465,apecosm,ipsl,historical
1951,3544612184805.2114,27692282693.790714,8465,apecosm,ipsl,historical
1952,3527086960864.5063,27555366881.753956,8465,apecosm,ipsl,historical
1953,3427794122207.317,26779641579.744663,8465,apecosm,ipsl,historical
1954,3345287195694.168,26135056216.360687,8465,apecosm,ipsl,historical
1955,3448291518164.266,26939777485.65833,8465,apecosm,ipsl,historical
1956,3433546796093.5825,26824584344.481113,8465,apecosm,ipsl,historical
1957,3427473989603.6924,26777140543.778847,8465,apecosm,ipsl,historical
1958,3440212602531.03,26876660957.27367,8465,apecosm,ipsl,historical
1959,3539211016824.8154,27650086068.94387,8465,apecosm,ipsl,historical
1960,3445710275408.8164,26919611526.63138,8465,apecosm,ipsl,historical
1961,3561463489953.309,27823933515.260227,8465,apecosm,ipsl,historical
1962,3684838858522.6655,28787803582.208324,8465,apecosm,ipsl,historical
1963,3498628981771.8545,27333038920.092613,8465,apecosm,ipsl,historical
1964,3354945354355.391,26210510580.901493,8465,apecosm,ipsl,historical
1965,3225902912876.012,25202366506.843845,8465,apecosm,ipsl,historical
1966,3418252696507.1475,26705099191.46209,8465,apecosm,ipsl,historical
1967,3673628588290.041,28700223346.015945,8465,apecosm,ipsl,historical
1968,3721558599908.8813,29074676561.788136,8465,apecosm,ipsl,historical
1969,3599403994855.2476,28120343709.80662,8465,apecosm,ipsl,historical
1970,3521646416894.828,27512862631.990845,8465,apecosm,ipsl,historical
1971,3714343313576.074,29018307137.31308,8465,apecosm,ipsl,historical
1972,3658123518179.621,28579089985.77829,8465,apecosm,ipsl,historical
1973,3557445380458.2505,27792542034.830082,8465,apecosm,ipsl,historical
1974,3405957841002.054,26609045632.82855,8465,apecosm,ipsl,historical
1975,3565870290477.767,27858361644.357555,8465,apecosm,ipsl,historical
1976,3585509123955.8403,28011790030.905003,8465,apecosm,ipsl,historical
1977,3403797836221.6226,26592170595.481426,8465,apecosm,ipsl,historical
1978,3415746039718.02,26685515935.29703,8465,apecosm,ipsl,historical
1979,3570959718655.1504,27898122801.993362,8465,apecosm,ipsl,historical
1980,3582920140032.207,27991563594.001617,8465,apecosm,ipsl,historical
1981,3403009628393.6035,26586012721.825027,8465,apecosm,ipsl,historical
1982,3467791481967.031,27092120952.867428,8465,apecosm,ipsl,historical
1983,3472866360590.0645,27131768442.10988,8465,apecosm,ipsl,historical
1984,3488714150579.7065,27255579301.403957,8465,apecosm,ipsl,historical
1985,3344961420985.744,26132511101.451126,8465,apecosm,ipsl,historical
1986,3511426304294.0747,27433018002.29746,8465,apecosm,ipsl,historical
1987,3900391754425.8413,30471810581.451885,8465,apecosm,ipsl,historical
1988,3849370885594.7515,30073210043.708996,8465,apecosm,ipsl,historical
1989,3546270443466.1123,27705237839.579002,8465,apecosm,ipsl,historical
1990,3193141671823.668,24946419311.122406,8465,apecosm,ipsl,historical
1991,3318045805126.419,25922232852.550148,8465,apecosm,ipsl,historical
1992,3499271534312.7964,27338058861.81872,8465,apecosm,ipsl,historical
1993,3473618332138.4463,27137643219.83161,8465,apecosm,ipsl,historical
1994,3775756437435.8667,29498097167.46771,8465,apecosm,ipsl,historical
1995,3675273313908.393,28713072764.90932,8465,apecosm,ipsl,historical
1996,3644331157629.0645,28471337168.977066,8465,apecosm,ipsl,historical
1997,3706230003030.7104,28954921898.677425,8465,apecosm,ipsl,historical
1998,3465429196624.797,27073665598.631226,8465,apecosm,ipsl,historical
1999,3534319377685.5063,27611870138.16802,8465,apecosm,ipsl,historical
2000,3555816513105.2275,27779816508.63459,8465,apecosm,ipsl,historical
2001,3428596271574.3945,26785908371.674957,8465,apecosm,ipsl,historical
2002,3523238959547.445,27525304371.464413,8465,apecosm,ipsl,historical
2003,3716201041190.6353,29032820634.301838,8465,apecosm,ipsl,historical
2004,3624355959309.9414,28315280932.108917,8465,apecosm,ipsl,historical
2005,3602232034025.0645,28142437765.820816,8465,apecosm,ipsl,historical
2006,3618235529433.331,28267465073.6979,8465,apecosm,ipsl,historical
2007,3316374681107.8306,25909177196.154926,8465,apecosm,ipsl,historical
2008,3557336125358.694,27791688479.364796,8465,apecosm,ipsl,historical
2009,3920375653441.611,30627934792.512585,8465,apecosm,ipsl,historical
2010,3751427453641.714,29308026981.57589,8465,apecosm,ipsl,historical
2011,3651124609431.746,28524411011.185516,8465,apecosm,ipsl,historical
2012,3665064224795.7725,28633314256.216972,8465,apecosm,ipsl,historical
2013,3440272403450.289,26877128151.955383,8465,apecosm,ipsl,historical
2014,3317208949823.178,25915694920.49358,8465,apecosm,ipsl,historical
