MRGID,GEONAME,POL_TYPE,SOVEREIGN1,SOVEREIGN2,SOVEREIGN3,AREA_KM2
5674,Danish Exclusive Economic Zone,200NM,Denmark,NA,NA,105021
5683,Latvian Exclusive Economic Zone,200NM,Latvia,NA,NA,28353
5673,Croatian Exclusive Economic Zone,200NM,Croatia,NA,NA,55404
5682,Italian Exclusive Economic Zone,200NM,Italy,NA,NA,536654
5695,Overlapping claim Ukrainian Exclusive Economic Zone,Overlapping claim,Ukraine,NA,NA,136198
5689,Romanian Exclusive economic Zone,200NM,Romania,NA,NA,29606
8487,Japanese Exclusive Economic Zone,200NM,Japan,NA,NA,4066513
48950,Overlapping claim Kuril Islands: Japan / Russia,Overlapping claim,Japan,Russia,NA,213723
8333,Indian Exclusive Economic Zone (Andaman and Nicobar Islands),200NM,India,NA,NA,664448
8359,Pakistani Exclusive Economic Zone,200NM,Pakistan,NA,NA,224374
26523,Turkmen Exclusive Economic Zone,200NM,Turkmenistan,NA,NA,61226
26524,Azerbaijanis Exclusive Economic Zone,200NM,Azerbaijan,NA,NA,80614
26522,Kazakh Exclusive Economic Zone,200NM,Kazakhstan,NA,NA,114383
8482,Myanmar Exclusive Economic Zone,200NM,Myanmar,NA,NA,497460
5687,Polish Exclusive Economic Zone,200NM,Poland,NA,NA,29982
8480,Indian Exclusive Economic Zone,200NM,India,NA,NA,1659487
26582,Overlapping claim: Sudan / Egypt,Overlapping claim,Sudan,Egypt,NA,19734
8393,Beninese Exclusive Economic Zone,200NM,Benin,NA,NA,35493
5692,Slovenian Exclusive Economic Zone,200NM,Slovenia,NA,NA,214
8483,Malaysian Exclusive Economic Zone,200NM,Malaysia,NA,NA,510804
49003,Overlapping claim South China Sea,Overlapping claim,China,NA,NA,338839
50167,Joint regime area Croatia / Slovenia,Joint regime,Croatia,Slovenia,NA,98
8327,South Korean Exclusive Economic Zone,200NM,South Korea,NA,NA,347671
48955,Overlapping claim Liancourt Rocks: Japan / South Korea,Overlapping claim,Japan,South Korea,NA,1624
50170,Overlapping claim Qatar / Saudi Arabia / United Arab Emirates,Overlapping claim,Qatar,Saudi Arabia,United Arab Emirates,126
8455,New Zealand Exclusive Economic Zone,200NM,New Zealand,NA,NA,4104551
8442,Jarvis Island Exclusive Economic Zone,200NM,United States,NA,NA,323186
8489,Antarctic 200NM zone beyond the coastline,200NM,Antarctica,NA,NA,9618978
8326,Tuvaluan Exclusive Economic Zone,200NM,Tuvalu,NA,NA,753133
8454,Wallis and Futuna Exclusive Economic Zone,200NM,France,NA,NA,262750
8451,Howland and Baker Islands Exclusive Economic Zone,200NM,United States,NA,NA,434894
8325,Fijian Exclusive Economic Zone,200NM,Fiji,NA,NA,1289978
8464,Brazilian Exclusive Economic Zone,200NM,Brazil,NA,NA,3205183
8441,Kiribati Exclusive Economic Zone (Line Islands),200NM,Kiribati,NA,NA,1641193
8488,Kiribati Exclusive Economic Zone (Gilbert Islands),200NM,Kiribati,NA,NA,1053245
8403,Ecuadorian Exclusive Economic Zone (Galapagos),200NM,Ecuador,NA,NA,841438
8431,Ecuadorian Exclusive Economic Zone,200NM,Ecuador,NA,NA,236293
8397,Sao Tome and Principe Exclusive Economic Zone,200NM,Sao Tome and Principe,NA,NA,130844
8316,Micronesian Exclusive Economic Zone,200NM,Micronesia,NA,NA,3010644
8398,Equatorial Guinean Exclusive Economic Zone,200NM,Equatorial Guinea,NA,NA,304133
8345,Maldives Exclusive Economic Zone,200NM,Maldives,NA,NA,920739
8324,Papua New Guinean Exclusive Economic Zone,200NM,Papua New Guinea,NA,NA,2399638
8350,Somali Exclusive Economic Zone,200NM,Federal Republic of Somalia,NA,NA,781843
8317,Nauruan Exclusive Economic Zone,200NM,Nauru,NA,NA,309261
8476,Gabonese Exclusive Economic Zone,200NM,Gabon,NA,NA,201759
8492,Indonesian Exclusive Economic Zone,200NM,Indonesia,NA,NA,6020917
48978,Joint regime area United States / Russia,Joint regime,United States,Russia,NA,8521
5677,French Exclusive Economic Zone,200NM,France,NA,NA,345240
8378,Algerian Exclusive Economic Zone,200NM,Algeria,NA,NA,131193
8400,Ghanaian Exclusive Economic Zone,200NM,Ghana,NA,NA,227500
8438,Greenlandic Exclusive Economic Zone,200NM,Denmark,NA,NA,2268623
5696,United Kingdom Exclusive Economic Zone,200NM,United Kingdom,NA,NA,731309
8453,United States Exclusive Economic Zone (Hawaii),200NM,United States,NA,NA,2474715
33181,Svalbard Exclusive Economic Zone,200NM,Norway,NA,NA,797063
5686,Norwegian Exclusive Economic Zone,200NM,Norway,NA,NA,933027
5690,Russian Exclusive economic Zone,200NM,Russia,NA,NA,7734809
8437,Jan Mayen Exclusive Economic Zone,200NM,Norway,NA,NA,292907
8463,United States Exclusive Economic Zone (Alaska),200NM,United States,NA,NA,3682912
5693,Spanish Exclusive Economic Zone,200NM,Spain,NA,NA,561763
62589,Chagos Archipelago Exclusive Economic Zone,200 NM,Mauritius,NA,NA,650804
8383,Overlapping claim South Georgia and South Sandwich Islands: UK / Argentina,Overlapping claim,United Kingdom,Argentina,NA,1237783
8402,Bermudian Exclusive Economic Zone,200NM,United Kingdom,NA,NA,464389
8456,United States Exclusive Economic Zone,200NM,United States,NA,NA,2451023
