lon,lat,eez
-56.5,86.5,8438
-55.5,86.5,8438
-54.5,86.5,8438
-53.5,86.5,8438
-52.5,86.5,8438
-51.5,86.5,8438
-50.5,86.5,8438
-49.5,86.5,8438
-48.5,86.5,8438
-47.5,86.5,8438
-46.5,86.5,8438
-45.5,86.5,8438
-44.5,86.5,8438
-43.5,86.5,8438
-42.5,86.5,8438
-41.5,86.5,8438
-40.5,86.5,8438
-39.5,86.5,8438
-38.5,86.5,8438
-37.5,86.5,8438
-36.5,86.5,8438
-35.5,86.5,8438
-34.5,86.5,8438
-33.5,86.5,8438
-32.5,86.5,8438
-31.5,86.5,8438
-30.5,86.5,8438
-29.5,86.5,8438
-28.5,86.5,8438
-27.5,86.5,8438
-26.5,86.5,8438
-25.5,86.5,8438
-24.5,86.5,8438
-23.5,86.5,8438
-22.5,86.5,8438
-21.5,86.5,8438
-20.5,86.5,8438
-19.5,86.5,8438
-18.5,86.5,8438
-17.5,86.5,8438
-16.5,86.5,8438
-15.5,86.5,8438
-14.5,86.5,8438
-13.5,86.5,8438
-12.5,86.5,8438
-11.5,86.5,8438
-10.5,86.5,8438
-9.5,86.5,8438
-101.5,85.5,8493
-100.5,85.5,8493
-99.5,85.5,8493
-98.5,85.5,8493
-97.5,85.5,8493
-96.5,85.5,8493
-95.5,85.5,8493
-94.5,85.5,8493
-93.5,85.5,8493
-92.5,85.5,8493
-91.5,85.5,8493
-90.5,85.5,8493
-89.5,85.5,8493
-88.5,85.5,8493
-87.5,85.5,8493
-86.5,85.5,8493
-85.5,85.5,8493
-84.5,85.5,8493
-83.5,85.5,8493
-82.5,85.5,8493
-81.5,85.5,8493
-80.5,85.5,8493
-79.5,85.5,8493
-78.5,85.5,8493
-77.5,85.5,8493
-76.5,85.5,8493
-75.5,85.5,8493
-74.5,85.5,8493
-73.5,85.5,8493
-72.5,85.5,8493
-71.5,85.5,8493
-70.5,85.5,8493
-69.5,85.5,8493
-68.5,85.5,8493
-67.5,85.5,8493
-66.5,85.5,8493
-65.5,85.5,8493
-64.5,85.5,8493
-63.5,85.5,8493
-62.5,85.5,8493
-61.5,85.5,8493
-60.5,85.5,8493
-59.5,85.5,8493
-58.5,85.5,8493
-57.5,85.5,8438
-56.5,85.5,8438
-55.5,85.5,8438
-54.5,85.5,8438
-53.5,85.5,8438
-52.5,85.5,8438
-51.5,85.5,8438
-50.5,85.5,8438
-49.5,85.5,8438
-48.5,85.5,8438
-47.5,85.5,8438
-46.5,85.5,8438
-45.5,85.5,8438
-44.5,85.5,8438
-43.5,85.5,8438
-42.5,85.5,8438
-41.5,85.5,8438
-40.5,85.5,8438
-39.5,85.5,8438
-38.5,85.5,8438
-37.5,85.5,8438
-36.5,85.5,8438
-35.5,85.5,8438
-34.5,85.5,8438
-33.5,85.5,8438
-32.5,85.5,8438
-31.5,85.5,8438
-30.5,85.5,8438
-29.5,85.5,8438
-28.5,85.5,8438
-27.5,85.5,8438
-26.5,85.5,8438
-25.5,85.5,8438
-24.5,85.5,8438
-23.5,85.5,8438
-22.5,85.5,8438
-21.5,85.5,8438
-20.5,85.5,8438
-19.5,85.5,8438
-18.5,85.5,8438
-17.5,85.5,8438
-16.5,85.5,8438
-15.5,85.5,8438
-14.5,85.5,8438
-13.5,85.5,8438
-12.5,85.5,8438
-11.5,85.5,8438
-10.5,85.5,8438
-9.5,85.5,8438
-8.5,85.5,8438
